ParishID,Reconciliation_Times
59,"{""Monday to Saturday"": ""After 12:05 PM Mass (until 1:00 PM)"",""Saturday"": ""3:00 PM to 3:45 PM""}"
60,"{""Monday"": ""4:00 PM - 4:45 PM"",""Wednesday"": ""5:30 PM - 7:00 PM"",""Friday"": ""4:00 PM - 4:45 PM"",""Saturday"": ""9:00 AM - 12:00 PM""}"
61,"{""Regular"": ""Every Saturday 1:00 PM - 2:00 PM"",""By Appointment"": ""Call the Rectory""}"
62,Saturdays 1:00 PM - 2:00 PM
63,Saturday from 3:00 PM to 3:45 PM
64,"{""Saturday"": [""4:00 PM - 4:45 PM""],""First Friday"": [""11:00 AM (during Holy Hour)""],""Fridays of Lent"": [""6:30 PM (before Stations of the Cross)""],""23rd of the month"": [""6:30 PM (before Padre Pio Mass)""],""Anytime"": [""upon request""]}"
65,Saturday: 4:00 PM or by appointment
66,"{""Saturday"": ""4:00 PM \u2014 4:45 PM"",""Daily"": ""Following 12:00 PM Mass (Upon request)""}"
67,"{""Saturday"": ""3:30 PM - 4:15 PM""}"
68,"{""1st and 3rd Saturday"": ""4:00 PM - 5:00 PM"",""2nd and 4th Saturday"": ""4:30 PM - 4:50 PM""}"
69,"{""Sunday"": ""09:30 AM \u2013 09:50 AM""}"
70,NA
71,"{""Wednesdays"": ""7:45 PM - 9:00 PM""}"
72,"{""Saturday"": ""4:15 PM"",""By Appointment"": ""Available""}"
73,"{""Sunday"": ""6:00 PM - 6:40 PM"",""Monday to Wednesday"": ""8:30 AM - 9:30 AM"",""Thursday"": ""8:30 PM - 9:30 PM"",""Friday"": ""9:00 AM - 10:00 AM"",""First Saturdays"": ""9:00 AM - 10:00 AM""}"
74,Every Saturday - 3:30 PM - 4:30 PM
75,NA
76,"{""Saturday"": ""4:30 PM""}"
77,"{""Saturday"": ""4:00 PM"",""Sunday"": ""After 9:30 AM Mass"",""Other"": ""By Appointment""}"
78,NA
79,Saturdays from 4:00 PM \u2013 5:00 PM
80,"{""Saturday"": ""4:00 PM - 4:30 PM"",""By Appointment"": ""NA""}"
81,NA
82,5:00 PM Every day or by appointment
83,NA
84,"{""Saturday"": ""4:30 PM - 5:00 PM"",""1st Friday of the Month"": ""8:30 AM - 7:00 PM""}"
85,"{""Saturday"": ""5:30 PM""}"
86,"{""Monday"": ""10:00 AM to 11:30 AM, 3:00 PM to 6:00 PM"",""Tuesday"": ""10:00 AM to 11:30 AM, 3:00 PM to 6:00 PM"",""Thursday"": ""10:00 AM to 11:30 AM, 3:00 PM to 6:00 PM"",""Friday"": ""10:00 AM to 11:30 AM, 3:00 PM to 6:00 PM"",""Saturday"": ""NA""}"
87,NA
88,"{""Regular"": ""Before Mass (Starting at 5:30 PM)"",""1st Friday"": ""5:30 PM - 7:00 PM"",""Monday"": ""7:00 AM - 7:25 AM"",""Tuesday"": ""7:00 AM - 7:25 AM"",""Wednesday"": ""7:00 AM - 7:25 AM"",""Thursday"": ""7:00 AM - 7:25 AM"",""Friday"": ""7:00 AM - 7:25 AM"",""Saturday"": ""7:00 AM - 7:25 AM"",""Sunday"": ""8:30 AM - 8:55 AM, 10:00 AM - 10:25 AM, 11:30 AM - 11:55 AM""}"
89,"{""Saturday"": ""3:00 PM - 4:00 PM"",""Sunday"": ""9:00 AM - 10:00 AM""}"
90,"{""Tuesday"": ""1:00 PM - 5:00 PM"",""Wednesday"": ""1:00 PM - 5:00 PM"",""Thursday"": ""NA"",""Friday"": ""NA"",""Monday"": ""NA"",""Saturday"": ""NA"",""Sunday"": ""NA""}"
91,NA
92,"[""4:00 PM \u2013 4:45 PM"",""3:30 PM to 4:45 PM""]"
93,"{""1st Friday"": ""6:00 PM to 6:45 PM"",""Saturday"": ""4:00 PM""}"
94,"{""Saturday"": ""3:45 PM to 4:45 PM"",""Select Mondays"": ""4:30 PM to 5:00 PM (mid Sept. to mid May) or by appointment"",""Anytime"": ""by appointment""}"
95,"{""Saturday"": ""4:00 PM - 4:45 PM""}"
96,NA
97,NA
98,"{""Weekdays"": ""After the 8:00 AM Mass"",""Saturday"": ""2:00 PM""}"
99,"{""Saturday"": ""4:00 PM - 4:45 PM""}"
100,"{""Saturday"": ""4:00 PM"",""Sunday"": ""12:00 PM""}"
101,"{""Wednesday"": ""7:30 PM to 8:30 PM"",""Saturday"": [""4:30 PM to 5:15 PM"",""6:30 PM to 7:00 PM""]}"
102,5:00 PM Saturdays / by appointment
103,"Saturdays 4:00 to 4:45 PM, or by appointment at the rectory."
104,NA
105,"Saturday 4:00 PM - 4:30 PM, Other times by pre-arranged appointment"
106,NA
107,NA
108,Saturday from 1:00 PM - 2:00 PM
109,"{""Saturday"": ""1:00 PM to 1:30 PM"",""Anytime"": ""upon request""}"
110,"{""Saturday"": ""4:00 PM"",""Weekdays"": ""By appointment""}"
111,"{""Saturday"": ""1:00 PM to 2:00 PM"",""Monday"": ""7:00 PM to 7:30 PM (suspended from Memorial Day thru Labor Day)""}"
112,NA
113,NA
114,Saturdays after the 8:45 AM Mass and other times by appointment
115,"{""Monday - Friday"": ""after Mass"",""Saturday"": ""4:00 - 4:30 PM""}"
116,4:15 PM on Saturday evenings
117,NA
118,NA
119,Saturdays from 4:15 PM - 4:45 PM
120,"{""Saturday"": ""4:00 PM to 5:00 PM"",""By_Appointment"": true}"
121,Saturdays following 9:00 AM Mass and from 4:30 PM - 5:00 PM
122,"{""Saturday"": ""12:45 PM \u2013 2:00 PM (or by Appointment)""}"
123,"{""Saturday"": ""4:00 PM or by appointment""}"
124,NA
125,"{""Monday - Friday"": ""8:00 AM - 8:20 AM"",""Saturday"": [""8:00 AM - 8:20 AM"",""4:00 PM - 5:15 PM""]}"
126,NA
127,"{""Weekdays"": ""After 9:00 AM Mass (Monday through Friday)"",""Saturday"": ""3:30 PM to 4:00 PM or by appointment""}"
128,"{""Saturday"": ""1:00 PM - 2:00 PM""}"
129,"{""Saturday"": ""4:15 PM - 5:00 PM""}"
130,"{""Monday-Saturday"": ""after 9:00 AM Mass"",""Saturday"": ""3:30 PM - 4:45 PM"",""Other"": ""by appointment""}"
131,"{""Saturday"": ""12:00 PM - 1:00 PM""}"
132,"{""Weekdays"": ""7:30 AM"",""Saturday"": ""3:30 PM - 4:30 PM"",""ThursdayBeforeFirstFriday"": ""6:00 PM - 7:00 PM"",""FirstFriday"": ""4:30 PM - 5:30 PM""}"
133,NA
134,NA
135,"{""Thursday"": ""5:45 PM - 6:45 PM"",""Saturday"": ""5:30 PM""}"
136,"{""Monday to Friday"": ""6:00 PM to 6:45 PM"",""Saturday"": ""4:00 PM to 4:45 PM"",""Sunday"": ""10:00 AM - 12:00 PM""}"
137,"{""Saturday"": ""4:00 PM - 4:45 PM""}"
138,"30 minutes before every Mass, during Holy Hour, and upon request"
139,"Saturday 4:15 PM - 5:00 PM or by appointment, call 973-325-0110"
140,Saturday 4:00 PM - 4:30 PM in the Chapel
141,NA
142,"{""Saturday"": [""11:30 AM - 2:00 PM by appointment"",""4:30 PM - 5:00 PM (First come, first served)"",""whenever you need. Just ask!""]}"
143,Saturday: 4:00 PM - 5:00 PM or by appointment
144,NA
145,NA
146,"{""Saturday"": ""6:30 PM"",""Sunday"": ""8:00 AM"",""Daily"": ""30 minutes prior to each daily Mass""}"
147,"{""Saturday"": ""3:45 PM - 4:15 PM""}"
148,See the bulletin
149,"{""Tuesday"": ""5:30 PM - 5:50 PM"",""Saturday"": [""8:30 AM - 9:00 AM"",""4:00 PM - 4:50 PM""],""Sunday"": ""5:00 PM - 5:50 PM""}"
150,"{""Monday"": ""7:15 AM - 7:45 AM"",""Tuesday"": ""7:15 AM - 7:45 AM"",""Wednesday"": ""7:15 AM - 7:45 AM"",""Thursday"": ""7:15 AM - 7:45 AM"",""Friday"": ""7:15 AM - 7:45 AM"",""Saturday"": ""4:30 PM - 5:30 PM"",""Sunday"": [""7:00 AM - 8:00 AM"",""9:00 AM - 10:00 AM""],""Holy Days of Obligation"": ""Available before all Masses or call for appointment""}"
151,6:00 PM Saturday
152,"After daily Mass, Monday thru Thursday"
153,NA
154,NA
155,"{""Saturday"": ""4:30 PM - 4:50 PM""}"
156,"{""Saturday"": ""5:30 PM - 5:45 PM or by appointment""}"
157,"{""Sacred Heart Catholic Church"": {""Saturday"": ""3:30-4:00 PM""},""Saint Joseph Catholic Church"": {""Tuesday"": ""4:30-5:00 PM""}}"
158,"{""Saturday"": ""4:00 PM - 4:30 PM"",""Sunday"": ""8:00 AM - 8:30 AM"",""By Appointment"": ""Contact the Parish Office""}"
159,"{""Saturday"": ""5:30 PM - 5:45 PM or by appointment""}"
160,"{""Tuesday"": ""4:30 PM - 5:10 PM"",""Thursday"": ""4:30 PM - 5:10 PM"",""Saturday"": ""4:30 PM - 5:10 PM""}"
161,"Saturday 3:15-3:45 PM, & by appt."
162,"{""Wednesday"": ""After the 6 PM Mass on Saturday"",""Tuesday"": ""after 8:30 AM Mass at St. Mary"",""Thursday"": ""after 8:30 AM Mass at St. Mary"",""Friday"": ""5:30 PM at St. Ann"",""Saturday"": ""4:00 PM at St. Mary & after 6 PM Mass at St. Joseph"",""Sunday"": ""7:30 AM at St. Ann""}"
163,NA
164,NA
165,NA
166,NA
167,"{""Wednesday"": ""3:15 PM - 4:00 PM"",""Saturday"": ""12:15 PM - 1:00 PM, 3:15 PM - 3:45 PM""}"
168,"{""Saturday"": ""Following First Friday after the 5 PM Mass at St. Maurice"",""Sunday"": ""After the 10 AM Mass at St. Maurice"",""By Appointment"": ""812-585-1229""}"
169,"{""Monday"": ""8:00 AM - 8:20 AM"",""Tuesday"": ""5:00 PM - 5:20 PM"",""Wednesday"": ""8:00 AM - 8:20 AM"",""Thursday"": ""5:00 PM - 5:20 PM"",""Friday"": ""8:00 AM - 8:20 AM"",""Saturday"": [""8:00 AM - 8:20 AM"",""3:30 PM - 3:50 PM""],""Sunday"": [""7:30 AM - 7:50 AM"",""11:30 AM - 11:50 AM""]}"
170,NA
171,"{""Thursday"": ""4:30 PM""}"
172,"{""Tuesday"": ""7:50 AM - 8:20 AM"",""Thursday"": ""7:50 AM - 8:20 AM"",""Wednesday"": ""5:20 PM - 5:50 PM"",""Friday"": ""7:30 AM - 8:00 AM at St. Bridget"",""Saturday"": ""9:00 AM - 10:30 AM""}"
173,NA
174,"{""Friday"": ""11:20 AM - 11:50 AM"",""Saturday"": ""3:45 PM - 4:15 PM"",""Appointments"": ""Call for an appointment at 812-246-2512""}"
175,"{""St. John the Apostle"": {""Monday"": ""8:00 AM"",""Saturday"": ""4:30 PM"",""Tuesday"": ""5:00 PM"",""Thursday"": ""5:00 PM""},""St. Jude"": {""Wednesday"": ""5:30 PM"",""Thursday"": ""8:30 AM""},""General"": ""Father is usually in the confessional 20-30 minutes before each Mass. If the light is on, Father is available for Confession.""}"
176,"{""Weekday"": [""11:00 AM - 12:00 PM""]}"
177,Monday from 8:40 AM to 9:00 AM or by appointment
178,NA
179,"{""St. John the Apostle"": {""Monday"": ""8:00 AM"",""Saturday"": ""4:30 PM"",""Tuesday"": ""5:00 PM"",""Thursday"": ""5:00 PM""},""St. Jude"": {""Wednesday"": ""5:30 PM"",""Thursday"": ""8:30 AM""},""General"": ""Father is usually in the confessional 20-30 minutes before each Mass. If the light is on, Father is available for Confession.""}"
180,"{""St. Lawrence"": {""Tuesday"": ""8:15 AM"",""Friday"": ""8:15 AM""},""St. Mary"": {""Sunday"": ""7:00 AM"",""Thursday"": ""8:15 AM""},""St. Teresa"": {""Wednesday"": ""8:15 AM""}}"
181,"{""Tuesday"": ""5:00 PM - 6:00 PM (During Holy Hour) or by appointment"",""Saturday"": ""9:00 AM - 10:00 AM or by appointment""}"
182,"{""Friday"": ""9:30 AM - 10:30 AM"",""Saturday"": ""3:00 PM - 3:45 PM""}"
183,"{""Wednesday"": ""Immediately following Mass"",""Saturday"": ""4:00 PM - 4:45 PM""}"
184,"{""Saturday"": ""3:00 PM - 3:30 PM"",""Additional"": [{""Date"": ""Thursday, Dec 19th"",""Time"": ""6:00 PM - 7:00 PM""}, {""Date"": ""Saturday, Dec 21st"",""Time"": ""2:00 PM - 3:30 PM""}]}"
185,"{""Tuesday"": ""4:30 PM - 5:00 PM"",""Thursday"": ""4:30 PM - 5:00 PM""}"
186,NA
187,"{""Saturday"": ""3:00 PM - 3:45 PM"",""Sunday"": ""11:15 AM - 12:00 PM"",""By Appointment"": ""Available""}"
188,NA
189,Saturday from 4:00 PM until 4:30 PM
190,A priest will be available 30 minutes before every weekday and weekend Mass for 20 minutes.
191,"{""Tuesday"": [""5:30 PM""],""Wednesday"": [""5:30 PM""],""Thursday"": [""11:30 AM at St. Thomas""],""Saturday"": [""3:00 PM"",""5:30 PM at St. Thomas""]}"
192,"{""Saturday"": ""4:00 PM - 4:45 PM"",""Sunday"": ""11:45 AM - 12:45 PM"",""Tuesday"": ""5:00 PM - 5:45 PM"",""Wednesday"": ""5:00 PM - 5:45 PM"",""Thursday"": ""5:00 PM - 5:45 PM"",""Fridays during Lent"": ""5:00 PM - 6:00 PM"",""Wednesday of Holy Week"": ""5:00 PM - 7:00 PM""}"
193,"{""Sunday"": [""8:00 AM to 8:30 AM"",""10:00 AM to 10:30 AM"",""12:00 PM to 12:30 PM"",""4:30 PM to 5:30 PM"",""8:30 PM to 9:00 PM""],""Monday"": ""11:45 AM to 12:15 PM"",""Tuesday"": ""8:00 PM to 9:00 PM"",""Wednesday"": ""4:30 PM to 5:30 PM"",""Thursday"": ""8:00 PM to 9:00 PM"",""Saturday"": ""4:00 PM to 4:30 PM""}"
194,"{""Saturday"": ""4:15 PM"",""Sunday"": ""after 11:00 AM Mass""}"
195,Immediately following weekday Mass (5:15 P.M. Mon-Fri)
196,30 minutes before each Mass
197,"{""Tuesday"": ""8:40 AM - 8:55 AM"",""Thursday"": ""8:40 AM - 8:55 AM"",""Friday"": ""8:40 AM - 8:55 AM"",""Saturday"": ""4:00 PM - 4:45 PM"",""Lent and Advent"": ""8:15 AM - 8:55 AM on Tuesdays, Thursdays, and Fridays""}"
198,NA
199,"{""St. Lawrence"": {""Tuesday"": ""8:15 AM"",""Friday"": ""8:15 AM""},""St. Mary"": {""Sunday"": ""7:00 AM"",""Thursday"": ""8:15 AM""},""St. Teresa"": {""Wednesday"": ""8:15 AM""}}"
200,"{""Saturday"": ""3:45 PM - 4:30 PM""}"
201,Saturday 4:30 PM - 5:00 PM or by appointment
202,First Friday 9:00 AM - 9:30 AM or by appointment.
203,NA
204,"{""Saturday"": ""Following the 8:30 AM Mass"",""Wednesday"": ""6:00 PM - 6:45 PM""}"
205,"{""Friday"": ""11:30 AM"",""Saturday"": ""3:30 PM""}"
206,"{""Saturday"": [""Following the 8:10 AM Mass"",""3:00 PM-3:50 PM""],""Tuesday"": ""7:15 AM-7:45 AM"",""Thursday"": [""7:15 AM-7:45 AM"",""6:00 PM-6:45 PM""],""En Espa\u00f1ol"": ""Thursday 6:00 PM-6:45 PM""}"
207,"{""Tuesday"": ""8:15 AM - 8:50 AM"",""Wednesday"": ""5:00 PM - 6:00 PM"",""Friday"": ""8:15 AM - 8:50 AM"",""Saturday"": ""3:30 PM - 4:30 PM""}"
208,"{""Wednesday"": ""6:00 PM"",""Thursday"": ""6:00 PM"",""Saturday"": ""6:00 PM""}"
209,"{""Wednesday"": [""4:15 PM"",""6:30 PM"",""4:30 PM"",""5:45 PM"",""6:00 PM"",""6:15 PM""],""Saturday"": [""9:15 AM"",""11:30 AM""]}"
210,Mystery of Repentance also available by appointment
211,"{""Tuesday"": ""6:30 PM Before Mass"",""Wednesday"": ""7:30 AM Before Mass"",""Saturday"": ""3:00 PM Before Mass""}"
212,NA
213,"{""Wednesday"": ""5:30 PM - 6:30 PM"",""Saturday"": ""9:45 AM - 10:30 AM"",""Thursday"": ""6:00 PM - 7:30 PM""}"
214,NA
215,"{""Sunday"": ""9:00 AM - 9:30 AM"",""Tuesday"": ""2:00 PM - 3:00 PM"",""First Saturday"": ""8:30 AM - 9:30 AM"",""By appointment"": ""Email bhao@hnojatl.org to schedule.""}"
216,"{""Saturday"": [""4:00 PM - 4:45 PM""]}"
217,NA
218,NA
219,NA
220,NA
221,"{""Saturday"": ""3:30 PM to 4:25 PM"",""Sunday"": ""3:30 PM to 4:25 PM"",""Weekday"": ""By appointment only"",""Advent"": [""December 8, 15, 22 between 9:30 AM and 10:45 AM"",""December 22 at 3:30 PM before the 5 PM Mass""]}"
222,NA
223,30 minutes before every Mass and also upon request.
224,"{""Tuesday"": ""6:00 PM - 6:45 PM"",""Wednesday"": ""6:00 PM - 6:45 PM"",""Thursday"": ""6:00 PM - 6:45 PM"",""Friday"": ""6:00 PM - 6:45 PM"",""Saturday"": ""Availability of the Priest"",""Sunday"": ""Availability of the Priest""}"
225,"{""Saturday"": [""4:30 PM"",""By appointment only""],""By Appointment"": ""Yes""}"
226,"{""Weekly"": ""Saturday from 4:00 PM to 4:30 PM"",""By Appointment"": ""Email kkotara@olachurch.org or call (404) 365-0508""}"
227,Saturday 4:00 PM - 4:45 PM
228,NA
229,"{""Saturday"": ""9:30 AM"",""Tuesday"": ""6:00 PM - 6:45 PM"",""Thursday"": ""6:00 PM - 6:45 PM""}"
230,"{""Saturday"": ""4:30 PM (in Day Chapel) or by Appointment"",""Sunday"": ""8:30 AM"",""Other"": ""All others need to meet with the pastor to receive Reconciliation.""}"
231,"{""Monday"": ""11:15 AM - 11:45 AM"",""Tuesday"": ""NA"",""Wednesday"": ""11:15 AM - 11:45 AM"",""Thursday"": ""NA"",""Friday"": ""11:15 AM - 11:45 AM"",""Saturday"": ""9:00 AM - 10:00 AM""}"
232,NA
233,"{""Sunday"": [""9:00 AM - 9:20 AM"",""10:30 AM - 10:50 AM""],""Tuesday"": [""11:30 AM - 11:50 AM""],""Thursday"": [""11:30 AM - 11:50 AM""],""Friday"": [""11:30 AM - 11:50 AM"",""5:00 PM - 6:00 PM""]}"
234,"Monday, December 16 at 7 PM"
235,\ubbf8\uc0ac\uc804
236,NA
237,NA
238,NA
239,"{""Wednesday"": ""6:00 PM - 7:00 PM""}"
240,Saturdays from 4:15 PM to 4:45 PM or by appointment
241,"{""Wednesday"": ""7:30 PM - 8:30 PM"",""Saturday"": ""9:30 AM - 10:30 AM"",""By Appointment"": ""Available""}"
242,"[""Every Saturday 4:00 PM to 5:00 PM"",""30 minutes before all weekday masses"",""Or by appointment""]"
243,NA
244,"{""Wednesday"": ""6:00 PM - 7:00 PM"",""Saturday"": ""10:00 AM - 11:00 AM or by appointment""}"
245,"{""Tuesday"": ""5:30 PM"",""Saturday"": ""3:00 PM (or by appointment)""}"
246,"{""Saturday"": [""4:00 PM - 4:45 PM"",""9:00 AM - 10:00 AM"",""3:00 PM - 4:00 PM""],""Wednesday"": ""6:00 PM - 7:00 PM""}"
247,"{""Monday"": ""8:30 AM - 9:00 AM"",""Friday"": ""8:30 AM - 9:00 AM"",""Thursday"": ""6:00 PM"",""Saturday"": [""8:00 AM"",""3:00 PM - 4:00 PM""]}"
248,"{""Thursday"": ""5:30 PM"",""Saturday"": ""4:00 PM - 4:30 PM"",""By_Appointment"": ""Yes""}"
249,"{""Sunday"": ""30 min. before Mass"",""Monday"": ""Before each Mass"",""Tuesday"": ""Before each Mass"",""Wednesday"": ""Before each Mass"",""Thursday"": ""Before each Mass"",""Friday"": ""Before each Mass"",""Saturday"": ""8:00 AM - 9:00 AM""}"
250,Saturdays 4:00 PM or by appointment
251,"{""Saturday"": ""2:30 PM to 3:30 PM""}"
252,"{""Weekends"": ""Saturday: 4:00 PM - 4:45 PM or by appointment"",""Weekdays"": {""Wednesday"": ""5:30 PM - 6:45 PM"",""Friday"": ""8:00 AM - 8:45 AM or by appointment""}}"
253,NA
254,"{""Wednesday"": ""7:00 PM - 8:00 PM"",""Saturday"": ""9:00 AM - 10:00 AM""}"
255,Available before and after each liturgy and by appointment.
256,"{""Friday"": ""4:30 PM \u2013 5:30 PM (Bilingual)"",""Saturday"": ""3:30 PM \u2013 7:00 PM (Bilingual)""}"
257,"{""Saturday"": ""3:00 PM to 4:00 PM"",""Wednesday"": ""9:30 AM to 6:30 PM""}"
258,"{""Monday"": [""5:00 PM - 5:45 PM""],""Tuesday"": [""11:00 AM - 11:45 AM"",""6:00 PM - 6:45 PM""],""Thursday"": [""11:00 AM - 11:45 AM"",""6:00 PM - 6:45 PM""],""1st & 2nd Saturday of the month"": [""8:30 AM - 9:30 AM""]}"
259,"{""Monday"": ""8:00 AM - 8:25 AM"",""Tuesday"": ""8:00 AM - 8:25 AM"",""Wednesday"": ""8:00 AM - 8:25 AM"",""Thursday"": ""6:00 PM - 7:00 PM"",""Friday"": ""8:00 AM - 8:25 AM"",""Saturday"": ""8:30 AM - 10:00 AM""}"
260,NA
261,"{""Wednesday"": ""5:00 PM - 7:00 PM (Espa\u00f1ol/English)"",""Saturday"": ""9:00 AM - 10:00 AM, 3:00 PM - 4:00 PM"",""By Appointment"": ""Or by scheduling an appointment with a priest.""}"
262,"{""Tuesdays"": ""6:00 PM - 6:30 PM"",""Wednesdays"": [""8:00 AM"",""6:30 PM""],""Saturdays"": [""9:00 AM"",""4:00 PM""]}"
263,"{""Wednesday"": ""5:00 PM - 6:00 PM"",""Saturday"": ""9:30 AM - 10:30 AM""}"
264,"{""Wednesday"": ""5:00 PM - 5:45 PM"",""Saturday"": ""4:00 PM - 4:30 PM"",""Sunday"": [""7:15 AM - 7:45 AM"",""10:00 AM - 10:30 AM""],""Before_Masses"": ""1/2 hour before all Masses"",""1st Friday"": ""8:30 AM - 9:00 AM""}"
265,"{""Saturdays"": ""4:00 PM \u2013 5:00 PM"",""Anytime"": ""By Appointment""}"
266,"{""St. Dominic\u2019s"": ""Tuesdays from 5:00 PM \u2013 6:00 PM (exposition of the Blessed Sacrament)"",""St. Mark\u2019s"": ""Thursdays from 5:30 PM to 6:00 PM (exposition of the Blessed Sacrament)""}"
267,"{""Friday"": ""6:00 PM - 6:45 PM"",""Saturday"": ""3:00 PM - 3:45 PM"",""By Appointment"": true}"
268,"{""Monday"": ""6:45 PM to 7:30 PM or by Appointment"",""Tuesday"": ""9:45 AM to 10:30 AM Except 1st Tuesday, or by appointment"",""Wednesday"": ""6:45 PM to 7:30 PM or by Appointment"",""Thursday"": ""9:45 AM to 10:30 AM or by appointment"",""Saturday"": ""9:45 AM to 10:30 AM or by appointment""}"
269,"{""Saturday"": ""11:00 AM"",""First Friday"": ""7:00 PM to 8:00 PM""}"
270,No Confessions the weeks of Christmas and New Year's.
271,Saturday from 3:00 PM to 4:30 PM
272,"{""Monday"": ""5:00 PM \u2013 6:00 PM"",""Tuesday"": ""5:00 PM \u2013 6:00 PM"",""Thursday"": ""5:00 PM \u2013 6:00 PM"",""Saturday"": ""10:00 AM""}"
273,Saturday 3:30 PM - 4:30 PM
274,NA
275,"Saturdays, 4:00 PM or by appointment"
276,NA
277,"{""Mondays"": ""6:00 PM"",""Wednesdays"": ""following 6:45 AM Mass"",""Saturdays"": ""9:00 AM - 10:00 AM""}"
278,"{""ByAppointment"": ""Yes"",""Saturday"": ""4:45 PM - 5:15 PM"",""Sunday"": ""9:15 AM - 9:45 AM"",""Wednesday"": ""5:15 PM - 6:15 PM"",""FirstSaturday"": ""9:15 AM (following Mass)""}"
279,"{""Advent Penance Service"": ""Wednesday, December 18, at 7:00 PM""}"
280,"{""Wednesday"": [""9:00 AM"",""5:30 PM - 6:10 PM""],""Saturday"": ""4:00 PM - 4:30 PM""}"
281,Saturday: 3:00 PM - 4:30 PM
