ParishID,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday
1041,3:30 PM - 4:00 PM,NA,NA,NA,NA,NA,NA
1042,"8:00 AM - 9:30 AM, 3:00 PM - 4:00 PM",NA,NA,NA,NA,NA,NA
1043,4:00 PM,NA,NA,NA,NA,6:00 PM - 7:00 PM,NA
1044,Saturday at 4:30 PM or by appointment,NA,NA,NA,NA,NA,NA
1045,4:15 PM - 4:45 PM,8:15 AM - 8:45 AM & 10:45 AM - 11:15 AM,NA,NA,NA,NA,7:15 AM - 8:15 AM
1046,"4:00 PM - St. Anne, Grand Lake, 5:00 PM - St. Bernard, Fraser","9:00 AM - Our Lady of the Snow, Granby, 9:30 AM - St. Peter, Kremmling, 12:30 PM - St. Ignatius, Walden, 5:30 PM - Our Lady of the Snow, Granby",NA,NA,NA,NA,NA
1047,3:00 PM - 4:00 PM,9:30 AM (when second priest is available),NA,After Daily Mass,5:00 PM,After Daily Mass,NA
1048,11:30 AM - 1:00 PM,NA,NA,6:30 PM - 7:30 PM,NA,NA,12:00 PM - 1:00 PM; 4:00 PM - 7:00 PM
1049,30 minutes before each Mass,NA,NA,NA,NA,NA,NA
1050,"9:00 AM, 2:30 PM",4:30 PM,NA,NA,11:15 AM,NA,NA
1051,5:00 PM - 5:20 PM,NA,NA,NA,7:00 PM - 7:30 PM,NA,NA
1052,"3:30 PM, 30 minutes before each scheduled Mass",NA,NA,NA,NA,NA,NA
1053,11:30 AM - 1:00 PM (English and Spanish),12:00 PM - 1:00 PM (Spanish),11:30 AM - 12:00 PM,11:30 AM - 12:00 PM,NA,11:30 AM - 12:00 PM,"11:30 AM - 12:00 PM, 5:00 PM - 7:00 PM (English and Spanish)"
1054,"8:30 AM - 9:30 AM, 3:00 PM - 4:00 PM",NA,NA,After 7:30 AM Daily Mass until no one is waiting,NA,NA,NA
1055,3:30 PM – 4:45 PM,NA,8:00 AM – 8:45 AM,NA,NA,8:00 AM – 8:45 AM,NA
1056,NA,NA,NA,NA,NA,NA,NA
1057,3:30 PM - 4:30 PM,NA,5:30 PM - 6:00 PM (Monday - Friday),5:30 PM - 6:00 PM (Monday - Friday),5:30 PM - 6:00 PM (Monday - Friday),5:30 PM - 6:00 PM (Monday - Friday),5:30 PM - 6:00 PM (Monday - Friday)
1058,NA,NA,NA,NA,NA,NA,NA
1059,"1:00 PM, 5:00 PM",NA,NA,NA,NA,NA,NA
1060,"after 8:00 AM Mass, 3:30 PM","7:30 AM, 10:00 AM, 12:30 PM",NA,NA,NA,NA,NA
1061,NA,NA,NA,NA,NA,NA,NA
1062,NA,NA,NA,NA,5:00 PM - 7:00 PM,NA,8:30 AM - 9:30 AM
1063,NA,NA,NA,NA,NA,NA,NA
1064,NA,NA,11:30 AM – 12:00 PM,11:30 AM – 12:00 PM,11:30 AM – 12:00 PM,11:30 AM – 12:00 PM,11:30 AM – 12:00 PM
1065,NA,NA,NA,NA,NA,NA,NA
1066,4:30 PM,NA,NA,NA,NA,NA,NA
1067,NA,NA,NA,NA,NA,NA,NA
1068,NA,NA,9:15 AM - 10:00 AM,9:15 AM - 10:00 AM,6:00 PM - 6:45 PM,9:15 AM - 10:00 AM,4:30 PM - 5:15 PM
1069,4:15 PM - 4:45 PM (prior to 5 PM Mass),NA,NA,NA,NA,NA,NA
1070,3:00 PM - 4:00 PM,11:15 AM - 11:45 AM,12:00 PM - 10:00 PM,12:00 PM - 10:00 PM,12:00 PM - 10:00 PM,12:00 PM - 10:00 PM,9:00 AM
1071,"7:30 AM - 8:25 AM, 4:00 PM - 4:45 PM",NA,NA,NA,4:45 PM - 5:25 PM,NA,NA
1072,NA,NA,NA,NA,NA,NA,NA
1073,"Saturdays 2:30 PM - 3:30 PM, Before & After Masses, 4:00 PM - 5:00 PM (Saturday)",NA,NA,NA,NA,NA,NA
1074,2:30 PM – 3:30 PM,NA,NA,5:00 PM – 6:00 PM,NA,NA,NA
1075,3:30 PM (3:00 PM on December 7),NA,NA,NA,NA,4:00 PM,NA
1076,NA,NA,NA,NA,NA,NA,NA
1077,"8:00 AM - 8:50 AM, 2:30 PM - 3:30 PM",NA,"8:00 AM, 4:00 PM","8:30 AM, 4:00 PM","8:30 AM, 4:00 PM","8:30 AM, 7:00 PM","8:30 AM, 4:00 PM"
1078,5:00 PM – 5:45 PM or by appointment,NA,NA,NA,NA,NA,6:00 PM – 7:00 PM
1079,8:30 AM,NA,"7:30 AM, 11:00 AM","7:30 AM, 11:00 AM","7:30 AM, 11:00 AM","7:30 AM, 11:00 AM","7:30 AM, 11:00 AM"
1080,2:30-3:30 pm,NA,NA,NA,NA,NA,7:00 pm-8:00 pm (During Adoration)
1081,NA,NA,NA,NA,NA,NA,NA
1082,Saturdays at 3:30 PM \u2013 4:30 PM or by appointment,NA,NA,NA,NA,NA,NA
1083,NA,NA,NA,NA,NA,NA,NA
1084,3:30 PM – 4:30 PM,NA,After 8:00 AM Mass (Tuesday–Friday),After 8:00 AM Mass (Tuesday–Friday),After 8:00 AM Mass (Tuesday–Friday),After 8:00 AM Mass (Tuesday–Friday),After 8:00 AM Mass (Tuesday–Friday)
1085,9:00 AM,NA,NA,NA,NA,NA,NA
1086,Saturday 3:30 PM - 4:30 PM,NA,NA,NA,NA,NA,NA
1087,4:30-5:15 PM,30 mins prior to 10am Mass,4:30-5:15 PM,NA,NA,NA,NA
1088,3:00 PM,9:30 AM,NA,After Daily Mass,5:00 PM,After Daily Mass,NA
1089,"8:50 AM - 9:15 AM, 3:15 PM - 4:30 PM","7:00 AM, 9:00 AM, 11:00 AM, 4:30 PM","7:05 AM - 8:15 AM, 8:50 AM - 9:15 AM","7:05 AM - 8:15 AM, 8:50 AM - 9:15 AM","7:05 AM - 8:15 AM, 8:50 AM - 9:15 AM","7:05 AM - 8:15 AM, 8:50 AM - 9:15 AM","7:05 AM - 8:15 AM, 8:50 AM - 9:15 AM"
1090,NA,NA,NA,NA,NA,NA,NA
1091,NA,NA,5:00 PM - 6:00 PM,NA,NA,NA,5:00 PM - 6:00 PM
1092,"[""2:00 PM - 3:00 PM (Saturday)"",""11:30 AM - 12:10 PM (Wednesday)"",""12:00 PM - 1:00 PM (Monday)""]",NA,NA,NA,NA,NA,NA
1093,NA,NA,NA,5:00 PM - 5:45 PM,5:00 PM - 5:45 PM,5:00 PM - 5:45 PM,NA
1094,Confession may be made by private appointment with the pastor. Please contact the parish office for an appointment.,NA,NA,NA,NA,NA,NA
1095,NA,NA,NA,NA,NA,NA,NA
1096,NA,NA,NA,NA,NA,NA,NA
1097,8:15 AM,NA,8:00 AM – 8:45 AM,8:00 AM – 8:45 AM,8:00 AM – 8:45 AM,6:30 PM,8:00 AM – 8:45 AM
1098,3:30 PM - 4:45 PM,NA,NA,NA,NA,NA,NA
1099,4:00 PM,NA,NA,NA,8:30 AM,NA,NA
1100,"Before & after 8:30 AM and 10:30 AM Sunday Divine Liturgies, (as time allows). Or on request.",NA,NA,NA,NA,NA,NA
