Parish Name,Website
Our Lady of Grace/St. Joseph Parish,https://www.olghoboken.com/
St. Leo Parish,https://saintleochurch.net/
Good Shepherd Parish,https://www.goodshepherdnj.com/index.php?page=1
Sacred Heart of Jesus Parish,Website Not Found
St. John the Baptist Parish,https://stjohnbjc.org/
Christ the King Parish,https://christthekingjerseycity.org/
Our Lady of Sorrows Parish,https://olsnj.org/
St. Aedan’s,https://www.staedans.org/
St. Nicholas Parish,http://saintnicholaschurch.org/
St. Aloysius Parish,https://www.staloysiuschurch.com/
St. Mary of the Immaculate Conception Parish,https://stmarysparishjc.com/
St. Patrick & Assumption/All Saints,St. Patrick & Assumption/All Saints Parish
St. Paul the Apostle Parish,https://www.stpaulrcc.com/
Our Lady of Mercy Parish,https://olmnj.org/
St. Paul of the Cross Parish,Website Not Found
St. Ann Parish (Polish),Website Not Found
St. Anne Parish,https://www.saintanne1904.org/
Our Lady of Czestochowa Parish,https://www.olcjc.org/
St. Michael Parish,https://stmichaeljerseycity.org/
St. Joseph Parish,https://stjosephjc.com/index.html
Our Lady of Mount Carmel Parish,https://olmcjc.com/
Our Lady of Victories Parish,https://www.olvjc.org/
St. Anthony of Padua Parish,https://www.saintanthonyjc.com/
Holy Rosary Parish,https://www.holyrosarychurch.com/
St. Stephen Parish,https://ststephenkearny.com/
Our Lady of Sorrows Parish,http://olskearny.org/
St. Cecilia Parish,https://stceciliakearny.org/
St. Theresa Parish,https://www.thechurchofsttheresa.org/
St. John the Evangelist Parish,https://stjohnleonia.org/
St. Elizabeth of Hungary Parish,https://sehplinden.org/
Holy Family Parish,Website Not Found
St. Theresa of the Child Jesus,https://www.sttheresalinden.com/
St. John the Apostle Parish,http://www.sjanj.net/
St. Margaret of Cortona Parish,https://www.stmargaretlfnj.org/
St. Raphael Parish,https://www.straphaelnj.org/
St. Philomena Parish,https://www.stphilomena.org/
St. Joseph Parish,https://stjosephchurchlodi.org/
St. Francis De Sales Parish,https://www.saintfrancisdesaleslodinj.org/
Sacred Heart Parish,https://www.sacredheartlynd.org/church/
Our Lady of Mount Carmel Parish,https://www.olmclyndhurst.com/
St. Michael the Archangel Parish,https://stmichaellyndhurst.org/
Immaculate Heart of Mary Parish,https://ihmcmahwah.org/
Immaculate Conception Parish,https://www.iccmahwah.org/
St. Andrew Kim Parish,https://www.ilovesak.org/v2/
St. Joseph Parish,https://www.sjcmaplewoodnj.org/
Our Lady Queen of Peace Parish,https://www.olqp.org/
Nativity Parish,https://nativitynj.org/
Newman Center Chapel,https://www.redhawkcatholic.com/
Our Lady of Mount Carmel Oratory,https://www.olmcmontclair.org/
St. Peter Claver Parish,http://saintpeterclaverchurch.org/
St. Teresa of Calcutta Parish,https://www.iccmontclair.org/
Our Lady of Lourdes Parish,https://www.ollmountainside.org/
Ascension Parish,https://www.churchoftheascension.com/
St. Joseph Parish,https://sjcnj.org/
Our Lady of Peace Parish,https://olpnp.com/
Immaculate Conception Parish,Website Not Found
Our Lady of Good Counsel Parish,Website Not Found
Cathedral Basilica of the Sacred Heart,https://www.newarkbasilica.org/
St. Augustine Parish,Website Not Found
St. Columba Parish,https://www.stcolumbachurchnewark.org/
St. James Parish,Website Not Found
St. John Church,Website Not Found
St. Patrick Pro Cathedral,https://www.spnewark.com/
Our Lady of Fatima Parish,https://www.fatimachurchnewark.com/
St. Anthony of Padua Parish,Website Not Found
St. Lucy Parish,https://www.saintlucy.net/
St. Michael Parish,https://stmichaelsparish.org/
St. Thomas Aquinas Parish,Website Not Found
Parish of the Transfiguration,https://www.transfigurationparishnwk.org/
St. Stanislaus Parish,https://www.ststanislausnewark.com/
St. Rose of Lima Parish,Website Not Found
St. Antoninus Parish,http://www.saintantoninuschurch.org/
St. James Parish,http://www.stjameschurchrc.com/
St. Francis Xavier Parish,https://www.stfxp.com/
Blessed Sacrament/St. Charles Borromeo Parish,https://bsscb.org/
St. Casimir Parish,https://stcnewark.com/
St. Aloysius Parish,https://saintaloysiusnewark.com/
St. Benedict Parish,Website Not Found
Holy Trinity – Epiphany Parish,Website Not Found
Our Lady of Mount Carmel Parish,https://mountcarmelnewark.com/
Queen of Peace Parish,https://qpcna.org/
Our Lady of Fatima Parish,http://www.ourladyoffatimanb.org/
Sacred Heart Parish,https://www.sacredheartnorthbergen.com/
Notre Dame Parish,https://www.ndparishnc.com/
St. Anthony Parish,https://stanthonysnv.org/
Immaculate Conception Parish,https://iccnorwood.org/
Our Lady of Mount Carmel Parish,https://olmc-nutley.org/
Holy Family Parish,https://holyfamilynutley.org/
St. Mary Parish,https://stmarysnutley.org/
Our Lady of Perpetual Help Parish,https://www.olphoakland.org/
St. Pius X Parish,https://spxot.org/
St. John Church,http://stjohnscatholicchurch.net/
Our Lady of Mount Carmel Parish,https://olmcorange.com/
Our Lady of the Valley Parish,https://olvsalesianchurch.org/
St. Michael Parish,https://www.stmichael-catholic.org/
St. Nicholas Parish,https://stnicholasrcchurch.org/
Annunciation Parish,https://www.annunciationchurch.org/
Our Lady of the Visitation,https://www.olvparamus.org/
Our Lady of Mercy Parish,https://www.urolm.org/
St. Bernard (Parish of St. Bernard/St. Stanislaus),https://www.bestchurch.net/
St. Mary Parish,https://stmarysplainfield.org/en/Home
Divine Mercy Parish,https://www.divinemercyrahway.church/
St. Paul Parish,https://www.stpaulrcchurch.org/
St. Matthew Parish,https://stmatthewridgefield.org/
St. Francis of Assisi Parish,https://www.stfrancisrp.org/
Our Lady of Mount Carmel Parish,https://www.olmcridgewood.com/
St. Peter the Apostle Parish,https://www.saint-peter.org/
Sacred Heart Parish,https://www.wearesacredheart.org/
Our Lady of the Bl. Sacrament Parish,https://www.olbs.org/
St. Joseph the Carpenter Parish,https://www.stjosephroselle.com/
Assumption Parish,http://www.assumptionrp.com/
St. Mary Parish,https://www.stmaryrutherford.org/
St. Philip the Apostle Parish,https://www.stphilipsb.org/
Church of the Korean Martyrs,https://www.rcckm.org/
St. Gabriel the Archangel Parish,https://www.stgabrielsr.org/
St. Bartholomew Parish,https://www.stbartholomewchurch.org/
Immaculate Heart of Mary Parish,https://ihmparish.net/
Immaculate Conception Parish,https://iccsecaucus.com/
St. Rose of Lima Parish,http://www.stroseshorthills.org/
Our Lady of Sorrows Parish,https://olschurch.com/
St. James Parish,https://saintjamestheapostle.org/
St. Teresa of Avila Parish,https://www.st-teresa.org/
St. Anastasia Parish,https://www.saintanastasia.org/
Our Lady of Mount Carmel Parish,https://olmc.us/
Holy Spirit Parish,https://www.holyspiritunion.org/
St. Michael Parish,https://www.stmichaelunion.org/
St. Anthony of Padua Parish,https://stanthonyuc.com/
Holy Family Parish,Website Not Found
St. Rocco/ St. Brigid Parish,https://stroccounioncity.org/
St. Augustine Parish,Website Not Found
SS Joseph And Michael Parish,https://www.ssjmnj.org/
St. Cassian Parish,https://stcassianchurchuppermontclair.org/
Church of the Presentation,https://www.churchofpresentation.org/
Our Lady of the Lake Parish,https://ollverona.org/
Most Sacred Heart of Jesus Parish,https://mshchurch.com/pl/
Our Lady of Good Counsel Parish,https://www.olgcwt.org/
St. Lawrence Church,http://stlweehawken.com/
Holy Redeemer Parish,https://www.holyredeemer-wny.org/
St. Joseph of the Palisades,https://saintjosephpalisades.com/
St. Joseph Parish,https://www.stjosephwestorange.org/
St. Anthony of Padua Oratory,https://institute-christ-king.org/westorange-home
Our Lady of Lourdes Parish,https://www.lourdeswestorange.org/
St. Helen Parish,https://sainthelen.org/
Holy Trinity Parish,https://www.htrcc.org/
St. Andrew Parish,https://standrewcc.com/
Our Lady Mother of the Church,https://motherofthechurch.org/
Assumption of Our Blessed Lady Parish,https://www.assumptionparishwr.org/
St. Elizabeth Parish of Hungary,https://saintelizabeths.org/
St. Mary of the Immaculate Conception,https://www.smcnewark.org/
"All Saints Parish, Dearborn County",Not Found
"American Martyrs, Scottsburg",http://amartyrs.org
"Annunciation, Brazil",http://annunciationbrazil.org
"Christ the King, Indianapolis",http://www.ctk-indy.org
"Good Shepherd, Indianapolis",http://goodshepherdindy.org
"Holy Angels, Church of the, Indianapolis",http://www.HolyAngelsIndy.org
"Holy Cross, St. Croix",Not Found
"Holy Family, New Albany",http://www.holyfamilynewalbany.org/
"Holy Family, Oldenburg",http://www.holyfamilychurcholdenburgin.com
"Holy Name of Jesus, Church of the Most, Beech Grove",http://www.holyname.cc/
"Holy Rosary, Our Lady of the Most, Indianapolis",http://www.holyrosaryindy.org/
"Holy Spirit, Indianapolis",http://www.holyspirit-indy.org/
"Holy Trinity, Edinburgh",https://holytrinitycatholic.life
"Immaculate Heart of Mary, Indianapolis",http://www.ihmindy.org
"Immaculate Conception, Millhousen",http://www.millhousenchurch.com/
"Mary, Queen of Peace, Danville",http://www.mqpdanville.org
"Nativity of Our Lord Jesus Christ, Indianapolis",http://www.nativityindy.org/
"Our Lady of Lourdes, Indianapolis",http://www.ollindy.org
"Our Lady of Perpetual Help, New Albany",http://www.olphna.org/
"Our Lady of the Greenwood, Greenwood",https://olgreenwood.org
"Our Lady of the Springs, French Lick",https://www.occ-indy.org
"Our Lord Jesus Christ the King, Paoli",https://www.occ-indy.org
"Prince of Peace, Madison",http://www.popeace.org/
"Sacred Heart, Clinton",https://parkevermillioncatholicchurches.org/
"Sacred Heart of Jesus, Indianapolis",http://www.sacredheartindy.org/
"Sacred Heart of Jesus, Terre Haute",Not Found
"Sacred Heart of Jesus, Most, Jeffersonville",http://www.jeffersonvillecatholic.org
"Sorrowful Mother of God, Most, Vevay",https://www.popeace.org
"St. Agnes, Nashville",Not Found
"St. Ambrose, Seymour",http://www.stambroseseymour.org
"St. Andrew the Apostle, Indianapolis",http://www.standrewindy.org
"St. Ann, Indianapolis",http://www.st-ann-rcindy.org/
"St. Ann, Jennings County",http://www.ccjc3.org/
"St. Anne, New Castle",https://www.stannenc.com/
"St. Anthony, Indianapolis",http://www.saintanthonyindy.org
"St. Anthony of Padua, Clarksville",http://stanthony-clarksville.org
"St. Anthony of Padua, Morris",http://www.stanthonymorris.org
"St. Augustine, Jeffersonville",http://www.jeffersonvillecatholic.org
"St. Augustine, Leopold",Not Found
"St. Barnabas, Indianapolis",http://www.stbindy.org/
"St. Bartholomew, Columbus",http://www.saintbartholomew.org/
"St. Benedict, Terre Haute",Not Found
"St. Bernard, Frenchtown",https://nam02.safelinks.protection.outlook.com/?url=http%3A%2F%2Fwww.saintmichaelschurch.net%2F&data=04%7C01%7C%7C7eb2e89e7047484ce44708d9be90cc27%7Ca54192d98f824167ba15f0159a5c6254%7C0%7C0%7C637750351525138488%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C3000&sdata=EkMkbPJtenhHIRuxlZp%2Bhgumyko3DkEvGFJ%2FZ5XHROM%3D&reserved=0
"St. Boniface, Fulda",https://www.sbcatholic.church/
"St. Bridget of Ireland, Liberty",Not Found
"St. Catherine of Siena, Decatur County",http://www.stcatherinesparish.org/
"St. Charles Borromeo, Bloomington",https://nam02.safelinks.protection.outlook.com/?url=https%3A%2F%2Fparish.stcharlesbloomington.org%2F&data=04%7C01%7C%7C600fe1875b924a119af708d9786742c1%7Ca54192d98f824167ba15f0159a5c6254%7C0%7C0%7C637673207161763391%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C1000&sdata=1LxE0BgHovmC78vMM2Z2ZFRXYBIZyDB9RdSL%2BIjXUBQ%3D&reserved=0
"St. Charles Borromeo, Milan",https://www.https://stcharlesmilan.com/
"St. Christopher, Indianapolis",http://stchrisindy.org/
"St. Elizabeth Ann Seton, Richmond",http://www.setonschools.org
"St. Elizabeth of Hungary, Cambridge City",https://www.stannenc.com/
"SS. Francis and Clare of Assisi, Greenwood",http://www.ss-fc.org
"St. Francis Xavier, Henryville",http://www.stfrancisxavierhenryville.org
"St. Gabriel, Connersville",https://stgandb.org/
"St. Gabriel the Archangel, Indianapolis",http://www.stgabrielindy.org/
"St. Isidore the Farmer, Perry County",Not Found
"St. Joan of Arc, Indianapolis",http://www.sjoa.org/
"St. John Paul II Parish, Sellersburg",http://www.stjohnpaulparish.org
"St. John the Apostle, Bloomington",http://www.sjabloomington.org
"St. John the Baptist, Osgood",Not Found
"St. John the Baptist, Starlight",http://www.stjohnstarlight.org
"St. John the Evangelist, Indianapolis",http://www.stjohnsindy.org
"St. Joseph, Corydon",http://www.catholic-community.org
"St. Joseph, Crawford County",https://nam02.safelinks.protection.outlook.com/?url=http%3A%2F%2Fwww.saintmichaelschurch.net%2F&data=04%7C01%7C%7Cfddba5887df04182d6d408d9be91809e%7Ca54192d98f824167ba15f0159a5c6254%7C0%7C0%7C637750354457770945%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C3000&sdata=EmI7V4zqDHAtTcLTU%2FWo2Cpy%2B1V75ggMpdrSZpeDlVk%3D&reserved=0
"St. Joseph, Indianapolis",http://www.stjosephindy.org/
"St. Joseph, Jennings County",http://www.ccjc3.org/
"St. Joseph, Rockville",Not Found
"St. Joseph, Shelbyville",http://www.shelbycatholic.org
"St. Joseph University Parish, Terre Haute",http://www.stjoeup.org/
"St. Jude, Indianapolis",http://www.stjudeindy.org/
"St. Jude the Apostle, Spencer",https://www.sjabloomington.org
"St. Lawrence, Indianapolis",http://www.saintlawrence.net/
"St. Lawrence, Lawrenceburg",https://www.stlawrencecc.org/
"St. Louis, Batesville",http://www.stlouis-batesville.org/
"St. Luke the Evangelist, Indianapolis",http://www.stluke.org/
"St. Malachy, Brownsburg",http://www.stmalachy.org/
"St. Margaret Mary, Terre Haute",http://www.smmth.org/
"St. Mark the Evangelist, Indianapolis",http://www.stmarkindy.org
"St. Mark, Perry County",https://www.thequadparishes.org
"St. Martin of Tours, Martinsville",https://stmtours.org
"St. Mary, Greensburg",http://www.stmarysgreensburg.com/
"St. Mary, Indianapolis",Not Found
"St. Mary, Lanesville",http://www.stmarylanesville.org/
"St. Mary, Mitchell",http://www.yourcclc.org/
"St. Mary, Navilleton",http://www.stmarysnavilleton.com/
"St. Mary, New Albany",http://www.stmarysna.org
"St. Mary, North Vernon",http://www.ccjc3.org/
"St. Mary (Immaculate Conception), Rushville",http://www.stmaryrush.org
"St. Mary of the Immaculate Conception, Aurora",http://www.mystmarys.com
"St. Mary-of-the-Knobs, Floyds Knobs",http://www.smkcatholicschool.com/
"St. Mary-of-the-Woods, St. Mary-of-the-Woods",https://www.stmarysvillagechurch.org/
"St. Matthew the Apostle, Indianapolis",http://www.saintmatt.org
"St. Maurice, Napoleon",Not Found
"St. Meinrad, St. Meinrad",https://www.sbcatholic.church/
"St. Michael, Brookville",http://www.brookvilleparishes.com
"St. Michael, Cannelton",https://www.thequadparishes.org
"St. Michael, Charlestown",Not Found
"St. Michael, Greenfield",http://www.stmichaelsgrfld.org/
"St. Michael, Greenville",http://www.saintmichaelschurch.net
"St. Michael the Archangel, Indianapolis",http://www.saintmichaelindy.org
"St. Monica, Indianapolis",http://www.stmonicaindy.org
"St. Nicholas, Ripley County",http://www.stnicholas-sunman.org
"St. Patrick, Indianapolis",Not Found
"St. Patrick, Salem",http://amartyrs.org
"St. Patrick, Terre Haute",http://www.saintpat.org/
"St. Paul, Tell City",https://www.thequadparishes.org
"St. Paul Catholic Center, Bloomington",http://www.hoosiercatholic.org
"St. Paul the Apostle, Greencastle",http://www.stpaul-greencastle.com
"St. Peter, Franklin County",http://www.brookvilleparishes.com
"SS. Peter and Paul Cathedral, Indianapolis",http://www.ssppc.org/
"St. Philip Neri, Indianapolis",http://www.spnindy.org
"SS. Philomena and Cecilia, Oratory of, Oak Forest",http://www.latinmassbrookville.com
"St. Pius V, Troy",https://www.thequadparishes.org
"St. Pius X, Indianapolis",http://www.spxparish.org/
"St. Rita, Indianapolis",Not Found
"St. Roch, Indianapolis",http://www.strochindy.org
"St. Rose of Lima, Franklin",http://www.saintrose.net/
"St. Simon the Apostle, Indianapolis",http://www.saintsimon.org/
"St. Susanna, Plainfield",http://www.saintsusannachurch.com
"St. Teresa Benedicta of the Cross, Bright",http://www.dearborncatholics.org
"St. Therese of the Infant  Jesus (Little Flower), Indianapolis",http://www.littleflowerparish.org/
"St. Thomas Aquinas, Indianapolis",http://www.staindy.org/church
"St. Thomas More, Mooresville",http://www.stm-church.org/
"St. Thomas the Apostle, Fortville",http://www.stthomasfortville.com
"St. Vincent de Paul, Bedford",http://www.yourcclc.org/
"St. Vincent de Paul, Shelby County",http://www.svdpcc.com
All Saints,http://www.allsaintsdunwoody.org/
Basilica of the Sacred Heart of Jesus,http://www.sacredheartatlanta.org
Capilla San Juan Diego,Not Found
Capilla Santo Domingo,Not Found
Cathedral of Christ the King,https://cathedralctk.com
Christ Our Hope,https://christourhopeatl.org/
Christ Our King and Savior,http://www.cokas.org
Christ the Redeemer,http://www.ctrcc.net
Corpus Christi,http://www.corpuschristicc.org
Divine Mercy Mission,https://divinemercyatl.com/
Divino Niño Jesús,http://www.divinonino.org
El Señor es mi Pastor,Not Found
Epiphany Byzantine Catholic Church,https://epiphanybyz.org/
Good Samaritan,http://goodsamaritanellijay.com
Good Shepherd,http://gsrcc.net/
Holy Cross,http://www.holycrossatlanta.org
Holy Family,http://www.holyfamilycc.org
Holy Family Knanaya Syro-Malabar Catholic Church,http://www.stthomasdiocese.org/parishes/atlanta-0
Holy Name of Jesus Chinese Catholic Mission,http://www.hnojatl.org/
Holy Spirit,http://www.hsccatl.com
Holy Trinity,http://www.holytrinityptc.org
Holy Vietnamese Martyrs,http://www.cttdvnatl.org
Immaculate Heart of the Blessed Virgin Mary,http://www.ihmatlanta.org
Kidanemehret Eritrean Ge'ez Rite Catholic Church,https://www.kidanemehretatlanta.com/
Korean Martyrs,http://kmccga.com/
Mary Our Queen,http://www.maryourqueen.com
Most Blessed Sacrament,http://www.mbschurch.com
Mother of God Byzantine-Ukrainian Catholic Church,https://motherofgodchurch.wordpress.com/
Nuestra Señora de las Américas,https://www.oloacm.org/
Our Lady of LaSalette,http://www.lasalettecanton.com
Our Lady of Lourdes,http://www.lourdesatlanta.org
Our Lady of Perpetual Help,http://www.olphcc.org
Our Lady of the Assumption,http://www.olachurch.org
Our Lady of the Mount,http://olmcc.com/
Our Lady of the Mountains,http://www.olmjasper.com
Our Lady of Vietnam,http://www.giaoxuducmevietnam.org
Prince of Peace,http://www.PoPFB.org
Purification Heritage Center,Not Found
Queen of Angels,https://qofathomson.org/
Sacred Heart,http://www.sacredheartofgriffin.org
Sacred Heart,http://www.sacredheartmilledgeville.org
Sacred Heart of Jesus,http://www.sacredheartofhartwell.com
Saint Aelred,http://www.staelred.org/
Saint Alphonsa Syro-Malabar Catholic Church,http://www.stthomasdiocese.org/parishes/atlanta
Saint Andrew,http://www.standrewcatholic.org
Saint Andrew Kim,http://sakc.org/
Saint Ann,http://st-ann.org
Saint Anna,http://www.st-annas.com
Saint Anthony,http://www.saintanthonyblueridge.com/
Saint Anthony of Padua,http://www.stanthonyatlanta.org
Saint Augustine,http://www.staugcc.org
Saint Benedict,http://www.stbenedict.net
Saint Bernadette,https://www.stbernadettecc.org
Saint Brendan the Navigator,http://www.stbrendansatl.com
Saint Brigid,http://www.saintbrigid.org
Saint Catherine Laboure,http://www.stcatherinelabourega.org
Saint Catherine of Siena,http://www.stcatherinercc.org
Saint Clare of Assisi,http://stclarecc.org/
Saint Clement,http://www.stclementsga.org
Saint Elizabeth Ann Seton,Not Found
Saint Francis de Sales,https://www.fsspatl.com/
Saint Francis of Assisi,http://www.saintfrancisofassisi.org
Saint Francis of Assisi,http://www.stfac.org/
Saint Gabriel,http://www.stgabrielga.com
Saint George,http://www.stgeorgenewnan.org
Saint Gerard Majella,http://www.saintgerardmajella.net
Saint Helena,https://sthelenacc-clayton.org/
Saint James,http://stjamesmadison.catholicparish.info
Saint James the Apostle,https://stjamesapostlecatholicchurch.com/
Saint John Chrysostom Melkite,http://www.stjohnmelkite.org/
Saint John Neumann,http://www.sjnlilburn.com
Saint John Paul II,https://stjohnpauliicatholicchurch.org
Saint John the Evangelist,http://www.stjohnevangelist.net
Saint John Vianney,http://www.sjvpar.net
Saint Joseph,http://www.stjosephathens.org
Saint Joseph,http://www.sjccdalton.com
Saint Joseph,http://www.saintjosephcc.org
Saint Joseph,https://qofathomson.org/
Saint Joseph Maronite Catholic Church,http://www.sjmcc.org/
Saint Jude the Apostle,https://judeatl.com/
Saint Katharine Drexel,Not Found
Saint Lawrence,http://www.saintlaw.org
Saint Luke the Evangelist,http://www.stlukercc.org
Saint Margaret of Scotland Catholic Church,https://stmargaretofscotland.cc/
Saint Marguerite D'Youville,http://www.stmdy.com
Saint Mark,https://stmarkrcc.org/
Saint Mary,http://www.smcrome.org
Saint Mary,http://stmarystoccoa.org/
Saint Mary,Not Found
Saint Mary Magdalene,http://www.smmcatholic.org
Saint Mary Mother of God,http://www.stmaryjackson.org/
Saint Matthew,http://www.saintmatthew.us
Saint Matthew,http://www.saintmatthewcc.org
Saint Michael,http://www.saintmichael.cc
Saint Michael the Archangel,http://www.saintmichaelcc.org
Saint Monica,http://www.saintmonicas.com
Saint Oliver Plunkett,http://www.stolivers.com
Saint Patrick,http://www.stpatricksga.org
Saint Paul of the Cross,http://www.saintpaulofthecross.org
Saint Paul the Apostle,http://www.stpaulcleveland.com
Saint Peter,https://www.stplagrange.com/
Saint Peter Chanel,http://www.stpeterchanel.org
Saint Peter the Rock,http://www.stpetertherock.com
Saint Philip Benizi,http://www.stphilipbenizi.org
Saint Pius X,http://www.spxconyers.com
Saint Stephen the Martyr,http://www.ststephenthemartyr.info
Saint Theresa of the Child Jesus,http://www.sainttheresacatholicchurch.org
Saint Thomas Aquinas,http://www.sta.org
Saint Thomas More,http://www.stmgaparish.org
Saint Thomas the Apostle,http://www.stthomastheapostle.org
Saint Toribio Romo,Not Found
Saint Vincent de Paul,http://www.saintvincentdepaulchurch.org
Saints Peter and Paul,http://pnpatl.cc/
San Felipe de Jesus,Not Found
Shrine of the Immaculate Conception,http://www.catholicshrineatlanta.org
Transfiguration,http://www.transfiguration.com
Saint Agnes,http://www.stagneslouisville.org/
Saint Albert the Great,http://www.stalbert.org/
All Saints,http://www.allsaintstville.org/
Saint Aloysius,http://staloysiuspwv.org/
Saint Aloysius,http://staloysiuspwv.org/
Saint Ambrose,Not Found
Saint Ann,Not Found
Annunciation,http://www.annunciationky.org
Church of the Ascension,http://ascension-parish.com/
Saint Athanasius,http://www.stathanasiuslouisville.com/
Saint Augustine,http://www.staugustinechurch.net
Saint Augustine,http://www.staugustinechurch.net
Saint Bartholomew,http://www.saintbarths.org/
Basilica of Saint Joseph Proto-Cathedral,Not Found
Saint Benedict,https://sta-stb.org/
Saint Bernadette,http://www.stb2008.org/
Saint Bernard,Not Found
Saint Bernard,Not Found
Saint Boniface,http://www.stbonifaceparish.com/
Saint Brigid,https://www.sbsjlou.org/
Saint Brigid,https://www.sbsjlou.org/
Cathedral of the Assumption,http://www.cathedraloftheassumption.org/
Saint Catherine,Not Found
Saint Charles,Not Found
Christ the Healer,Not Found
Christ the King,Not Found
Christ the King,Not Found
Saint Christopher,http://www.stchristopherparish.org/
Saint Dominic,http://www.stdomparish.org/
Saint Edward,http://stedwardchurch.com/
Saint Elizabeth Ann Seton,http://www.easeton.com/
Saint Elizabeth of Hungary,http://www.paxchristilou.org/
Emmanuel,Not Found
Epiphany,http://epiphanycatholicchurch.org/
Saint Frances of Rome,http://www.saintfrancesofrome.org
Saint Francis of Assisi,https://www.ccsfachurch.org/
Saint Francis of Assisi,https://www.ccsfachurch.org/
Saint Francis Xavier,http://www.sfxmw.com/
Saint Francis Xavier,http://www.sfxmw.com/
Saint Gabriel,http://www.stgabriel.net/
Good Shepherd,Not Found
Good Shepherd,Not Found
Saint Gregory,http://www.stgregoryparish.org/
Guardian Angels,Not Found
Saint Helen,http://www.sthelenolc.org/
Holy Cross,Not Found
Holy Cross,Not Found
Holy Family,Not Found
Holy Name,Not Found
