pkParish,Parish,Website,Address,Email,PhoneNumber,ArchdioceseID
34,Corpus Christi Parish,https://www.corpuschristihh.org/ccp/,"218 Washington Pl., Hasbrouck Heights, NJ 07604",corchrisparish@gmail.com,(201) 288-4844,0
35,St. John the Baptist,https://www.stjohnhillsdale.org/,"69 Valley St, Hillsdale, NJ 07642",WeAreStJohns@gmail.com,,0
36,Christ the King Parish,https://www.christthekinghillsidenj.org/,"411 Rutgers Ave, Hillside NJ 07205",,(908) 686-0722,0
37,Saint Catherine of Siena,https://www.stcatherinehillside.com/,"1000 N. Broad St. Hillside, New Jersey 07205 United States",stcatherineofsiena1912@gmail.com,(908) 351-4197,0
38,St. Luke's Church,https://www.churchofstluke.org/,"340 North Franklin Turnpike, Ho-Ho-Kus, NJ 07423",ccd@churchofstluke.org,(201) 444-0272,0
39,Saints Peter and Paul,https://www.spphoboken.com/,"404 Hudson Street, Hoboken, NJ 07030",info@spphoboken.com,(201) 659-2276,0
40,St. Francis Church,https://www.stfrancishoboken.net/,"308 Jefferson Street, Hoboken, New Jersey 07030",stfrancis308@gmail.com,(201) 659-1772,0
41,Our Lady of Grace and St. Joseph,https://www.olghoboken.com/,"61 Monroe Street, Hoboken, NJ",olgsjccd@gmail.com,(201) 659-0369,0
42,St. Leo's Church,https://www.saintleochurch.net/,"103 Myrtle Avenue, Irvington, NJ 07111",saintleochurch@comcast.net,(973) 372-1272,0
43,Good Shepherd Parish,https://www.goodshepherdnj.com/index.php?page=1,"954 Stuyvesant Avenue, Irvington, NJ 07111",gsirvington@comcast.net,(973) 375-8568,0
44,St. John the Baptist Roman Catholic Church,https://www.stjohnbjc.org/,"3026 Kennedy Blvd., Jersey City NJ 07306",Johns3026@comcast.net,(201) 653-8814,0
45,St. Aedan's,https://www.staedans.org/,"800 Bergen Ave., Jersey City, NJ 07306",Office@staedans.org,(201) 433-6800,0
46,Saint Aloysius Parish,https://www.staloysiuschurch.com/,"691 West Side Avenue, Jersey City, NJ 07304",saintaloysius@verizon.net,(201) 433-6365,0
47,Saint Mary of the Immaculate Conception,https://www.stmarysparishjc.com/,"{""Office"": ""209 Third St Jersey City, NJ 07302"",""Church"": ""254 Second St Jersey City, NJ 07302""}",info@stmarysparishjc.com,,0
48,St. Paul the Apostle Parish,https://www.stpaulrcc.com/,"14 Greenville Avenue, Jersey City, NJ 07305",admin@stpaulrcc.com,(201) 433-8500,0
49,Our Lady of Mercy Parish,https://www.olmnj.org/,"40 Sullivan Drive, Jersey City, NJ 07305",olmjcparish@olmnj.org,(201) 434-7500,0
50,SAINT ANNE ROMAN CATHOLIC CHURCH,https://www.saintanne1904.org/,"3545 John F. Kennedy Boulevard, Jersey City, NJ 07307",admin@saintanne1904.org,(201) 360-0838,0
51,SAINT JOSEPH RC CHURCH,https://www.stjosephjc.com/index.html,"511 Pavonia Ave, Jersey City, NJ 07306",stjosephjc@yahoo.com,(201) 653-0392,0
52,Our Lady of Mount Carmel,https://www.olmcjc.com/,"99 Broadway, Jersey City, NJ 07306",,(201) 435-7080,0
53,Our Lady of Victories Roman Catholic Parish,https://www.olvjc.org/,"2217 J.F. Kennedy Boulevard, Jersey City, New Jersey 07304",contactus@olvjc.org,,0
54,Saint Anthony of Padua,https://www.saintanthonyjc.com/,"330 6th Street, Jersey City, NJ 07302",,(201) 653-0343,0
55,Holy Rosary Church,https://www.holyrosarychurch.com/,"344 Sixth Street, Jersey City, NJ 07302",holyrosarychurch@gmail.com,(201) 795-0120,0
56,Our Lady of Sorrows,https://www.olskearny.org/,"136 Davis Ave, Kearny, NJ 07032",dcalcado@olskearny.org,(201) 998-4616,0
57,St. Cecilia,https://www.stceciliakearny.org/,"120 Kearny Ave. Kearny, NJ 07032",,(201) 991-1116,0
58,St. Theresa Parish,https://www.thechurchofsttheresa.org/,"541 Washington Avenue \u2022 Kenilworth, New Jersey 07033",bernadettekunz@aol.com,(908) 272-4444,0
59,St. Elizabeth of Hungary Roman Catholic Church,https://www.sehplinden.org/,"220 East Blanke Street, Linden, New Jersey 07036",Office@sehplinden.org,(908) 486-2514,0
60,St. Theresa of Child Jesus,https://www.sttheresalinden.com/,"131 E. Edgar Road, Linden, NJ 07036",sttheresalinden@gmail.com,(908) 862-1116,0
61,St. John the Apostle Church,https://www.sjanj.net/,"1805 Penbrook Terrace, Linden, NJ 07036",parish@sjanj.net,(908) 486-6363,0
62,St. Margaret of Cortona Parish,https://www.stmargaretlfnj.org/,"31 Chamberlain Ave Little Ferry, NJ 07643","{""Fr. Kevin"": ""frkec.stmargcor@yahoo.com"",""Fr. Michael"": ""Fr.onyedika@gmail.com""}",(201) 641-2988,0
63,St. Raphael Parish,https://www.straphaelnj.org/,"346 E Mount Pleasant Ave, Livingston, NJ 07039",straphaelrcc@comcast.net,(973) 992-9490,0
64,St. Joseph's Catholic Church,https://www.stjosephchurchlodi.org/,"40 Spring Street, Lodi, New Jersey 07644 USA",stjosephparishlodi@gmail.com,(973) 779-0643,0
65,Saint Francis de Sales,https://www.saintfrancisdesaleslodinj.org/,"125 Union St, Lodi, NJ 07644, USA",francisdesales@hotmail.com,(973) 779-4330,0
66,Sacred Heart Church,https://www.sacredheartlynd.org/church/,"324 Ridge Road, Lyndhurst, NJ 07071",,(201) 438-1147,0
67,Our Lady of Mount Carmel,https://www.olmclyndhurst.com/,"149 Copeland Avenue, Lyndhurst, NJ 07071",olmc@olmclyndhurst.com,(201) 935-1177,0
68,Immaculate Conception Catholic Church,https://www.iccmahwah.org/,"900 Darlington Ave, Mahwah, NJ 07430",info@iccmahwah.org,(201) 327-1276,0
69,Saint Andrew Kim Korean Catholic Church,https://www.ilovesak.org/v2/,"280 Parker Ave. Maplewood, NJ. 07040",catholicmaplewood@yahoo.com,(973) 763-1170,0
70,St. Joseph Catholic Church,https://www.sjcmaplewoodnj.org/,"767 Prospect Street, Maplewood, NJ 07040",jamesanthonyworth@gmail.com,(973) 761-5933,0
71,Our Lady Queen of Peace,https://www.olqp.org/,"400 Maywood Avenue, Maywood, NJ 07607",parish@olqp.org,(201) 845-9566,0
72,Church of the Nativity,https://www.nativitynj.org/,"315 Prospect Street, Midland Park, NJ 07432",office@nativitynj.org,(201) 444-6362,0
73,Newman Catholic Center,https://www.redhawkcatholic.com/,"894 Valley Road, Montclair, NJ 07043",Sebastian.Perez@rcan.org,(973) 746-2323,0
74,Our Lady of Mount Carmel Oratory,https://www.olmcmontclair.org/,"94 Pine Street, Montclair, NJ 07042",office.olmcmontclair@gmail.com,(862) 243-3176,0
75,Saint Peter Claver Church,https://www.saintpeterclaverchurch.org/,"56 Elmwood Ave, Montclair, NJ 07042 USA",peterclave@aol.com,(973) 783-4852,0
76,St. Teresa of Calcutta Parish,https://www.iccmontclair.org/,Immaculate Conception Church,info@MontclairCatholics.org,(973) 744-5650,0
77,Our Lady of Lourdes,https://www.ollmountainside.org/,"300 Central Avenue, Mountainside, NJ 07092",office@ollmountainside.org,(908) 232-1162,0
78,Church of the Ascension,https://www.churchoftheascension.com/,"256 Azalea Drive, New Milford, NJ 07646",ascension@optonline.net,,0
79,Saint Joseph Roman Catholic Church,https://www.sjcnj.org/,"{""Church"": ""300 Elm Street, Oradell, NJ 07649"",""Office"": ""105 Harrison Street, New Milford, NJ""}",office@sjcnj.org,(201) 261-0148,0
80,Our Lady Of Peace,https://www.olpnp.com/,"111 South St, New Providence, NJ 07974",info@olpnp.org,(908) 464-7600,0
81,Cathedral Basilica of the Sacred Heart,https://www.newarkbasilica.org/,"89 Ridge Street, Newark, NJ 07104",cathedralinfo@rcan.org,(973) 484-4600,0
82,St. Columba's Roman Catholic Church,https://www.stcolumbachurchnewark.org/,"25 Thomas Street, Newark, NJ 07114",saintcolumba@hotmail.com,(973) 622-7712,0
83,Saint Patrick\u2019s Pro-Cathedral,https://www.spnewark.com/,"91 Washington Street, Newark, NJ 07102",info@stppcnewark.org,(973) 623-0822,0
84,Our Lady of Fatima Church,https://www.fatimachurchnewark.com/,"82-84 Congress St., Newark, NJ. 07105 - 1802",,(973) 589-8433,0
85,St. Lucy's Church,https://www.saintlucy.net/,"118 Seventh Ave, Newark, NJ 07104",stlucysnwk@yahoo.com,(973) 803-4200,0
86,Saint Michael's Parish,https://www.stmichaelsparish.org/,"172 Broadway, Newark, NJ 07104",stmichaelsparish.org,(973) 484-7100,0
87,The Catholic Parish of the Transfiguration,https://www.transfigurationparishnwk.org/,"103 16th Avenue - Newark, NJ 07103",pastortransparish@gmail.com,,0
88,St. Stanislaus Bishop & Martyr Roman Catholic Church,https://www.ststanislausnewark.com/,"146 Irvine Turner Blvd, Newark, NJ 07103",,(973) 642-7961,0
89,Saint Antoninus Church,https://www.saintantoninuschurch.org/,"337 South Orange Ave, Newark NJ 07103",saintantoninuschurch@gmail.com,(973) 623-0258,0
90,Saint James Church,https://www.stjameschurchrc.com/,,,(973) 344-8322,0
91,Blessed Sacrament St. Charles Borromeo Roman Catholic Church,https://www.bsscb.org/,"620 Clinton Ave, Newark, NJ, 07108",bsscbchurch@yahoo.com,(973) 824-6548,0
92,St. Aloysius Church,https://www.saintaloysiusnewark.com/,"66 Fleming Ave, Newark, NJ 07105",aloysiuschurch@gmail.com,(973) 344-4736,0
93,Our Lady of Mount Carmel,https://www.mountcarmelnewark.com/,"259 Oliver St. Newark, NJ 07105",,(973) 589-2090,0
94,Queen of Peace Church,https://www.qpcna.org/,"10 Franklin Place, North Arlington, NJ 07031","{""Pastor"": ""adistefano@qpcna.org"",""Parochial Vicar"": ""jmuralles@qpcna.org"",""Business Manager"": ""dallaghi@qpcna.org"",""Pastoral Assistant"": ""rsmith@qpcna.org"",""Music Director"": ""ngonzalez@qpcna.org"",""DRE"": ""tbellifemine@qpcna.org"",""QPGS Principal"": ""ljacewich@qpgs.org"",""QPGS Secretary"": ""prakowski@qpcna.org"",""General"": ""info@qpcna.org""}",(201) 997-0700,0
95,Our Lady of Fatima Roman Catholic Church,https://www.ourladyoffatimanb.org/,"8101 Kennedy Blvd., North Bergen, NJ 07047",office@ourladyoffatimanb.org,(201) 869-7244,0
96,Sacred Heart Church,https://www.sacredheartnorthbergen.com/,"9035 Barr Place, North Bergen, NJ 07047",info@shpnb.com,(201) 943-0305,0
97,Notre Dame Church,https://www.ndparishnc.com/,"359 Central Avenue, North Caldwell, NJ 07006",info@ndparishnc.com,(973) 226-0979,0
98,Our Lady of Mount Carmel,https://www.olmc-nutley.org/,"120 Prospect St. Nutley, NJ 07110",olmcnutley@optimum.net,(973) 667-2580,0
99,St. Mary\u2019s Roman Catholic Church,https://www.stmarysnutley.org/,"17 Monsignor Owens Place, Nutley, NJ 07110",info@stmarysnutley.org,(973) 235-1100,0
100,St. John Church,https://www.stjohnscatholicchurch.net/,"94 Ridge Street, Orange, NJ 07050",stjohnora@comcast.net,(973) 674-0110,0
101,Our Lady of the Valley Parish,https://www.olvsalesianchurch.org/,"510 Valley Street, Orange, NJ",,(973) 674-7500,0
102,The Roman Catholic Church of St. Michael,https://www.stmichael-catholic.org/,"19 E. Central Blvd, Palisades Park, NJ 07650",Stmichaelpp@gmail.com,(201) 944-1061,0
103,St. Nicholas RC Church,https://www.stnicholasrcchurch.org/,"442 East Brinkerhoff Ave \u2013 Palisades Park, NJ 07650",stnicholas07650@live.com,(201) 944-1154,0
104,Church of the Annunciation,https://www.annunciationchurch.org/,"50 W. Midland Ave., Paramus, NJ 07652",top@annunciationchurch.org,(201) 261-6322,0
105,Our Lady of the Visitation,https://www.olvparamus.org/,"234 N Farview Ave, Paramus, NJ 07652",jprice@olvparamus.org,(201) 261-6080,0
106,St. Bernard of Clairvaux & St. Stanislaus Kostka,https://www.bestchurch.net/,"1235 George Street, Plainfield, NJ 07062",office@bestchurch.net,(908) 756-3393,0
107,St. Mary's Plainfield - NJ,https://www.stmarysplainfield.org/en/Home,"516 W 6th Street Plainfield, NJ 07060",contactus@StMarysPlainfield.org,(908) 756-0085,0
108,St. Paul RC Church,https://www.stpaulrcchurch.org/,"200 Wyckoff Ave, Ramsey, NJ 07446",info@stpaulrcchurch.org,(201) 327-0976,0
109,St. Matthew Roman Catholic Church,https://www.stmatthewridgefield.org/,"555 Prospect Avenue, Ridgefield NJ 07657",ContactUs@stmatthewridgefield.org,(201) 945-3500,0
110,Saint Francis of Assisi,https://www.stfrancisrp.org/,"114 Mt. Vernon Street, Ridgefield Park, NJ 07660",Pacosta@stfrancisrp.org,(201) 641-6464,0
111,Our Lady of Mount Carmel,https://www.olmcridgewood.com/,"One Passaic St., Ridgewood, NJ 07450",lobby@olmcridgewood.com,,0
112,St. Peter the Apostle Roman Catholic Church,https://www.saint-peter.org/,"445 Fifth Ave., River Edge, NJ 07661",reception@saint-peter.org,(201) 261-3366,0
113,Sacred Heart Church,https://www.wearesacredheart.org/,"12 Terrace Avenue, Rochelle Park, NJ 07662",jbecht@wearesacredheart.org,(201) 843-1722,0
114,Our Lady of the Blessed Sacrament,https://www.olbs.org/,"28 Livingston Avenue, Roseland, NJ 07068",parishinfo@olbs.org,,0
115,Church of Saint Joseph the Carpenter,https://www.stjosephroselle.com/,"160 East 3rd Avenue, Roselle, NJ 07203",office@stjosephroselle.onmicrosoft.com,(908) 241-1250,0
116,Church of Saint Mary,https://www.stmaryrutherford.org/,"91 Home Avenue, Rutherford, NJ 07070",webmaster@stmaryrutherford.org,(201) 438-2200,0
117,\uc131 \ubc31\uc0bc\uc704 \ud55c\uc778\ucc9c\uc8fc\uad50\ud68c RCCKM,https://www.rcckm.org/,,martyrsnj@yahoo.com,(201) 703-0002,0
118,St. Gabriel the Archangel,https://www.stgabrielsr.org/,"88 E. Saddle River Rd. Saddle River, NJ 07458",,(201) 327-5663,0
119,Immaculate Heart of Mary Parish,https://www.ihmparish.net/,"1571 S. Martine Ave. Scotch Plains, NJ 07076",office@ihmparish.net,(908) 889-2100,0
120,Immaculate Conception Church,https://www.iccsecaucus.com/,"1219 Paterson Plank Road, Secaucus, New Jersey 07094",iccofficemail@gmail.com,(201) 863-4840,0
121,St. Rose of Lima,https://www.stroseshorthills.org/,"50 Short Hills Ave. Short Hills, NJ 07078",szeuner@stroseshorthills.org,(973) 379-3912,0
122,Our Lady of Sorrows,https://www.olschurch.com/,"217 Prospect Street South Orange, NJ 07079",sorrowschurch@gmail.com,(973) 763-5454,0
123,Saint James the Apostle Church,https://www.saintjamestheapostle.org/,"45 South Springfield Ave, Springfield NJ 07081",,(973) 376-3044,0
124,St Teresa of Avila Parish,https://www.st-teresa.org/,"306 Morris Avenue, Summit, NJ 07901","{""General"": ""office@stteresaavila.org"",""Faith Formation"": ""ff@stteresaavila.org""}",(908) 277-3700,0
125,Holy Spirit Roman Catholic Church,https://www.holyspiritunion.org/,"984 Suburban Rd, Union, NJ 07083",parishoffice@holyspiritunion.org,(908) 687-3327,0
126,St. Anthony of Padua Parish,https://www.stanthonyuc.com/,"615 8th Street, Union City, NJ 07087",,,0
127,St. Rocco & St. Brigid Roman Catholic Church,https://www.stroccounioncity.org/,"4206 John F. Kennedy Blvd Union City, NJ 07087",stroccounioncity@gmail.com,,0
128,Ss Joseph & Michael Church,https://www.ssjmnj.org/,,,(201) 865-2325,0
129,Saint Cassian Catholic Church,https://www.stcassianchurchuppermontclair.org/,"187 Bellevue Avenue, Upper Montclair, NJ 07043",parishoffice@stcassianchurch.org,(973) 744-2850,0
130,Church of the Presentation,https://www.churchofpresentation.org/,"271 W. Saddle River Rd. \u2022 Upper Saddle River, NJ 07458","{""Rev. Bob Stagg"": ""bstagg@churchofpresentation.org"",""Rev. Richard Francesco"": ""rfrancesco@churchofpresentation.org"",""nmierswa"": ""nmierswa@churchofpresentation.org"",""dcarr"": ""dcarr@churchofpresentation.org"",""kmartorano"": ""kmartorano@churchofpresentation.org"",""pdodwell"": ""pdodwell@churchofpresentation.org"",""cjohnson"": ""cjohnson@churchofpresentation.org""}",(201) 327-1313,0
131,Our Lady of The Lake Parish,https://www.ollverona.org/,"22 Lakeside Ave., Verona, NJ 07044",rectory@ollverona.org,(973) 239-5696,0
132,Most Sacred Heart of Jesus,https://www.mshchurch.com/pl/,"127 Paterson Ave, Wallington NJ 07057",mostsacredheart@verizon.net,(973) 778-7405,0
133,Our Lady of Good Counsel,https://www.olgcwt.org/,"668 Ridgewood Road, Washington Township, NJ 07676",info@olgcwt.org,(201) 664-6624,0
134,Saint Lawrence,https://www.stlweehawken.com/,"22 Hackensack Avenue, Weehawken, NJ 07086",info@stlweehawken.com,(201) 863-6464,0
135,Holy Redeemer Parish,https://www.holyredeemer-wny.org/,"569 65th Street, West New York, NJ 07093",holyredeemer569@gmail.com,(201) 868-9444,0
136,Saint Joseph of the Palisades,https://www.saintjosephpalisades.com/,"6401 Palisade Ave. West New York, NJ 07093",info@saintjosephpalisades.com,(201) 854-7006,0
137,Saint Joseph Church,https://www.stjosephwestorange.org/,"44 Benvenue Ave, West Orange, NJ 07052",parishoffice@saintjosephwo.org,(973) 669-3221,0
138,St. Anthony of Padua Oratory,https://www.institute-christ-king.org/westorange-home,"1360 Pleasant Valley Way West Orange, NJ 07052",saint.anthonys@institute-christ-king.org,(973) 325-2233,0
139,Our Lady of Lourdes R.C. Church,https://www.lourdeswestorange.org/,"One Eagle Rock Avenue, West Orange, NJ 07052-5040",OLLWONJ@VERIZON.NET,(973) 325-0110,0
140,Saint Helen,https://www.sainthelen.org/,"1600 Rahway Avenue, Westfield, NJ 07090",ccolonna@sainthelen.org,(908) 232-1214,0
141,Holy Trinity Roman Catholic Church,https://www.htrcc.org/,"506 Westfield Avenue, Westfield, NJ, 07090, United States",,(908) 232-8137,0
142,Our Lady Mother of the Church,https://www.motherofthechurch.org/,"209 Woodcliff Avenue, Woodcliff Lake, NJ 07677",,(201) 391-2826,0
143,Church of the Assumption of Our Blessed Lady,https://www.assumptionparishwr.org/,"143 1st Street, Wood-Ridge, NJ 07075",parishoffice@assumptionparishwr.org,(201) 438-5555,0
144,St. Mary's Church,https://www.smcnewark.org/,"520 Dr. Martin Luther King JR. Blvd, Newark, NJ 07102",,(973) 792-5793,0
145,American Martyrs and St. Patrick Catholic Churches,https://www.amartyrs.org,"{""American Martyrs"": ""270 S. Bond Street, Scottsburg, IN 47170"",""St. Patrick"": ""208 S. Shelby, Salem, IN 47167""}",,,0
146,Annunciation,https://www.annunciationbrazil.org,"19 N. Alabama Street, Brazil, IN 47834",annunciationchurch@msn.com,(812) 448-1901,0
147,Good Shepherd Catholic Church,https://www.goodshepherdindy.org,"2905 Carson Avenue, Indianapolis, IN 46203",goodshepherdcc@sbcglobal.net,(317) 783-3158,0
148,Holy Angels Catholic Church,https://www.HolyAngelsIndy.org,"740 West 28th Street, Indianapolis, IN 46208",holyangelsbulletin1@hotmail.com,(317) 926-3324,0
149,Holy Family Church,https://www.holyfamilynewalbany.org/,"129 West Daisy Lane, New Albany, Indiana 47150",info@holyfamilynewalbany.org,(812) 944-8283,0
150,Holy Family Parish,https://www.holyfamilychurcholdenburgin.com,"3027 Pearl Street, PO Box 98, Oldenburg, IN 47036",holyfamilycheryl@gmail.com,(812) 934-3013,0
151,Holy Trinity Catholic Church,https://www.holytrinitycatholic.life,"100 Keeley Street Edinburgh, IN 46124-0216",dlowery@dcgary.org,(812) 526-9460,0
152,Immaculate Heart of Mary,https://www.ihmindy.org,"5692 Central Avenue, Indianapolis, IN 46220",churchinfo@ihmindy.org,(317) 257-2266,0
153,Immaculate Conception Church,https://www.millhousenchurch.com/,"Millhousen, Indiana",,(812) 591-2362,0
154,Mary Queen of Peace,https://www.mqpdanville.org,"1005 West Main Street, Danville, IN 46122",info@mqpdanville.org,(317) 745-4284,0
155,Our Lady of the Springs,https://www.occ-indy.org,"8796 W State Road 56, French Lick, IN 47432",ols936@bluemarble.net,(812) 936-4568,0
156,Prince of Peace,https://www.popeace.org/,"{""Street"": ""413 E 2nd St"",""City"": ""Madison"",""State"": ""IN"",""Zip"": ""47250"",""MailingAddress"": ""305 W State ST Madison, IN 47250""}",parishoffice@popeace.org,(812) 265-4166,0
157,Sacred Heart and St. Joseph Catholic Churches,https://www.parkevermillioncatholicchurches.org/,"[{""Church"": ""Sacred Heart Catholic Church"",""Street"": ""610 S. 6th St."",""City"": ""Clinton"",""State"": ""Indiana"",""Zip"": ""47842""}, {""Church"": ""Saint Joseph Catholic Church"",""Street"": ""201 E. Ohio St."",""City"": ""Rockville"",""State"": ""IN"",""Zip"": ""47872""}]",,,0
158,Sacred Heart of Jesus Parish,https://www.sacredheartindy.org/,"1530 Union, Indianapolis IN 46225",office@sacredheartindy.org,(317) 638-5551,0
159,Prince of Peace,https://www.popeace.org,"{""Street"": ""413 E 2nd St"",""City"": ""Madison"",""State"": ""IN"",""Zip"": ""47250"",""MailingAddress"": ""305 W State ST Madison, IN 47250""}",meminnick@popeace.org,(812) 265-4166,0
160,St. Ambrose,https://www.stambroseseymour.org,"325 S. Chestnut Street, Seymour, IN 47274",youthministry@stambroseseymour.org,,0
161,St. Ann Catholic Church,https://www.st-ann-rcindy.org/,"6350 S. Mooresville Road, Indianapolis, 46221",admin@stannindy.org,(317) 821-2909,0
162,St. Mary's,https://www.ccjc3.org/,"212 Washington St, North Vernon, IN 47265",parishsecretary@stmarysnv.com,(812) 346-3604,0
163,St. Anne & St. Elizabeth of Hungary,https://www.stannenc.com/,"{""St. Anne"": ""102 N. 19th Street, New Castle, IN 47362"",""St. Elizabeth of Hungary"": ""333 W. Maple St, Cambridge City, IN 47327""}",pastor@sa-se.org,(765) 529-0933,0
164,Saint Anthony Catholic Church,https://www.saintanthonyindy.org,"337 N. Warman Ave, Indianapolis, IN 46222",,(317) 636-4828,0
165,St. Anthony of Padua,https://www.stanthony-clarksville.org,"316 N. Sherwood Avenue, Clarksville, Indiana 47129",a.macaluso@stanthony-clarksville.org,(812) 282-2290,0
166,Saint Barnabas Catholic Church,https://www.stbindy.org/,"8300 Rahke Road, Indianapolis, IN 46217",parishoffice@stbindy.org,(317) 882-0724,0
167,St. Boniface Parish and St. Meinrad Parish,https://www.sbcatholic.church/,"Fulda, Indiana",info@myparishfamily.church,(812) 357-5533,0
168,St. Catherine of Siena,https://www.stcatherinesparish.org/,"{""St. Maurice"": ""1963 North St. John Street, Greensburg, IN 47240"",""Enochsburg"": ""9995 East Base Road, Greensburg, IN 47240""}",,,0
